AP_XC_4_Team_Race,SEC,Big Ten,FBS Indep.,ACC,Big 12,Mountain West,CUSA,American,Sun Belt,MAC,Pac-12,Patriot
Preseason,16.0,22.0,,67.0,68.0,,,,,,,
Week 2,14.0,27.0,,81.0,63.0,,,,,,,
Week 3,12.0,31.0,,75.0,59.0,,,,,,,
Week 4,12.0,33.0,,75.5,59.0,,,,,,,
Week 5,12.0,32.0,,67.0,70.0,,,,,,,
Week 6,12.0,26.0,,73.0,71.0,,,,,,,
Week 7,21.0,28.0,,63.0,60.5,,,,,,,
Week 8,21.0,25.0,,57.0,67.0,,,,,,,
Week 9,22.0,21.0,,56.0,,,,,,,,
Week 10,25.0,21.0,,54.5,60.5,,,105.0,,,,
Week 11,25.0,18.0,,59.0,69.0,,,,,,,
Week 12,28.0,12.0,,65.0,71.0,,,,,,,
Week 13,,,,,,,,,,,,
Week 14,,,,,,,,,,,,
Week 15,,,,,,,,,,,,
Week 16,,,,,,,,,,,,
Final,,,,,,,,,,,,
